ANZSCO_Code,Occupation,ANZSCO Code  DIGITS
312211,Civil Engineering Draftspersons,6
312212,Civil Engineering Technicians,6
312311,Electrical Engineering Draftspersons,6
312312,Electrical Engineering Technicians,6
312411,Electronic Engineering Draftspersons,6
312412,Electronic Engineering Technicians,6
312511,Mechanical Engineering Draftspersons,6
312512,Mechanical Engineering Technicians,6
312911,Maintenance Planners,6
312912,Metallurgical and Materials Technicians,6
312913,Mine Deputies,6
312999,Building and Engineering Technicians (not covered elsewhere),6
313111,Hardware Technicians,6
313112,ICT Customer Support Officers,6
313113,Web Administrators,6
313199,Other ICT Support Technicians,6
313211,Radiocommunications Technicians,6
313212,Telecommunications Field Engineers,6
313213,Telecommunications Network Planners,6
313214,Telecommunications Technical Officers and Technologists,6
321211,Motor Mechanics (General),6
321212,Diesel Motor Mechanics,6
321213,Motorcycle Mechanics,6
321214,Small Engine Mechanics,6
322111,Blacksmiths,6
322112,Electroplaters,6
322113,Farriers,6
322114,Metal Casting Trades Workers,6
322115,Metal Polishers,6
322311,Metal Fabricators,6
322312,Pressure Welders,6
322313,Welders (First Class),6
323111,Aircraft Maintenance Engineers (Avionics),6
323112,Aircraft Maintenance Engineers (Mechanical),6
323113,Aircraft Maintenance Engineers (Structures),6
323211,Fitters (General),6
323212,Fitter and Turners,6
323213,Fitter-Welders,6
323214,Metal Machinists (First Class),6
323215,"Textile, Clothing and Footwear Mechanics",6
323299,Other Metal Fitters and Machinists,6
323311,Engravers,6
323312,Gunsmiths,6
323313,Locksmiths,6
323314,Precision Instrument Makers and Repairers,6
323315,Saw Doctors,6
323316,Watch and Clock Makers and Repairers,6
323411,Engineering Patternmakers,6
323412,Toolmakers,6
324211,Vehicle Body Builders,6
324212,Vehicle Trimmers,6
331111,Bricklayers,6
331112,Stonemasons,6
331212,Carpenters,6
331213,Joiners,6
333211,Fibrous Plasterers,6
333212,Solid Plasterers,6
334111,Plumbers (General),6
334112,Airconditioning and Mechanical Services Plumbers,6
334113,Drainers,6
334114,Gasfitters,6
334115,Roof Plumbers,6
341111,Electricians (General),6
341112,Electricians (Special Class),6
341113,Lift Mechanics,6
342211,Electrical Linesworkers,6
342212,Technical Cable Jointers,6
342311,Business Machine Mechanics,6
342312,Communications Operators,6
342313,Electronic Equipment Trades Workers,6
342314,Electronic Instrument Trades Workers (General),6
342315,Electronic Instrument Trades Workers (Special Class),6
342411,Cablers (Data and Telecommunications),6
342412,Telecommunications Cable Jointers,6
342413,Telecommunications Linesworkers,6
342414,Telecommunications Technicians,6
351111,Bakers,6
351112,Pastrycooks,6
361111,Dog Handlers and Trainers,6
361112,Horse Trainers,6
361113,Pet Groomers,6
361114,Zookeepers,6
361115,Kennel Hands,6
361199,Other Animal Attendants and Trainers,6
362211,Gardeners (General),6
362212,Arborists,6
362213,Landscape Gardeners,6
392111,Print Finishers,6
392112,Screen Printers,6
392311,Printing Machinists,6
392312,Small Offset Printers,6
393111,Canvas Goods Fabricators,6
393112,Leather Goods Makers,6
393113,Sail Makers,6
393114,Shoemakers,6
393211,Apparel Cutters,6
393212,Clothing Patternmakers,6
393213,Dressmakers and Tailors,6
