ANZSCO Code 4 DIGITS,ANZSCO Code - Copy,Occupation,ANZSCO Code  DIGITS
4515,451511,Natural Remedy Consultants,6
4515,451512,Weight Loss Consultants,6
4515,451513,Herbalists (Western),6
4516,451611,Tourist Information Officers,6
4516,451612,Travel Consultants,6
4517,451711,Flight Attendants,6
4517,451799,Other Travel Attendants,6
4518,451811,Civil Celebrants,6
4518,451812,Hair and Beauty Salon Assistants,6
4518,451814,Body Artists,6
4518,451815,First Aid Trainers,6
4518,451816,Religious Assistants,6
4518,451899,Personal Service Workers (not covered elsewhere),6
4522,452211,Bungy Jump Masters,6
4522,452212,Fishing Guides,6
4522,452213,Hunting Guides,6
4522,452214,Mountain and Glacier Guides,6
4522,452215,Outdoor Adventure Instructors,6
4522,452216,Trekking Guides,6
4522,452217,Whitewater Rafting Guides,6
4522,452299,Other Outdoor Adventure Guides,6
4523,452311,"Scuba, Snorkelling and Dive instructors",6
4523,452312,Gymnastics Coaches and Instructors,6
4523,452313,Horse Riding Coaches and Instructors,6
4523,452314,Snowsport Instructors,6
4523,452315,Swimming Coaches and Instructors,6
4523,452316,Tennis Coaches,6
4523,452317,Other Sports Coaches and Instructors,6
4523,452318,Dog and Horse Racing Officials,6
4523,452321,Sports Development Officers,6
4523,452322,Sports Umpires,6
4523,452323,Other Sports Officials,6
4524,452411,"Footballers (Soccer, Rugby and AFL)",6
4524,452412,Golfers,6
4524,452413,Jockeys,6
4524,452414,Lifeguards,6
4524,452499,Other Sportspersons,6
5111,511111,Contract Administrators,6
5111,511112,Program and Project Administrators,6
5122,512211,Health Practice Managers,6
5122,512299,Other Practice Managers,6
5212,521211,Secretaries (General),6
5212,521212,Legal Secretaries,6
5321,532111,Data Entry Operators,6
5321,532112,Machine Shorthand Reporters,6
5321,532113,Typists,6
5411,541111,Call Centre or Contact Centre Team Leaders,6
5411,541112,Call Centre or Contact Centre Operators,6
5421,542111,Receptionists (General),6
5421,542112,Admissions Clerks,6
5421,542113,Hotel and Motel Receptionists,6
5421,542114,Medical Receptionists,6
5511,551111,Accounts Clerks,6
5511,551112,Cost Clerks,6
5523,552311,Bookmakers,6
5523,552312,Insurance Consultants,6
5523,552313,Money Market Clerks,6
5523,552314,Statistical Clerks,6
5611,561111,Betting Agency Counter Clerks,6
5611,561112,Bookmaker's Clerks,6
5611,561113,Telephone Betting Clerks,6
5611,561199,Other Betting Clerks,6
5612,561211,Couriers,6
5612,561212,Postal Delivery Officers,6
5614,561411,Mail Clerks,6
5614,561412,Postal Sorting Officers,6
5619,561911,Classified Advertising Clerks,6
5619,561912,Meter Readers,6
5619,561913,Parking Inspectors,6
5619,561999,Clerical and Office Support Workers (not covered elsewhere),6
5911,591112,Production Clerks,6
5911,591113,Purchasing Officers,6
5911,591115,Stock Clerks,6
5911,591116,Warehouse Administrators,6
5911,591117,Order Clerks,6
5912,591211,Despatching and Receiving Clerks,6
5912,591212,Import-Export Clerks,6
5991,599111,Conveyancers,6
5991,599112,Legal Executives,6
5992,599211,Clerks of Court,6
5992,599212,Court Bailiffs and Sheriffs,6
5992,599213,Court Orderlies,6
5992,599214,Law Clerks,6
5992,599215,Trust Officers,6
5995,599511,Customs Officers,6
5995,599512,Immigration Officers,6
5995,599513,Motor Vehicle Licence Examiners,6
