Organisation_Code,Legal_Name,Is_RTO,Status,Registration_Manager,Legal_Authority,Head_Office_Physical_Address,Head_Office_Location_State,Latitude,Longitude,RTO_Type,NSW_Delivery_Approved,VIC_Delivery_Approved,QLD_Delivery_Approved,SA_Delivery_Approved,WA_Delivery_Approved,TAS_Delivery_Approved,NT_Delivery_Approved,ACT_Delivery_Approved
41553,QUEST INSTITUTE OF EDUCATION,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"1 Mona St, BANKSTOWN, NSW, 2200",New South Wales,-33.92,151.03243,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41554,ELEVATED TRAINING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"61 Nealdon Dr, MEADOWBROOK, QLD, 4131",Queensland,-27.66663,153.13317,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41556,BRISBANE PROFESSIONAL COLLEGE PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 3 305 Montague Rd, WEST END, QLD, 4101",Queensland,-27.48024,153.00407,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41558,1 SDO TRAINING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Factory 2 38 Christensen St, CHELTENHAM, VIC, 3192",Victoria,-37.95234,145.06552,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41559,ISH24 PTY. LTD.,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"10 Trantara Ct, EAST BENDIGO, VIC, 3550",Victoria,-36.74511,144.31537,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41560,PERTH TRANSLATION AND INTERPRETING TRAINING PTY. LTD.,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 60 188 Newcastle St, PERTH, WA, 6000",Western Australia,-31.94651,115.86184,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41561,PARKER HANNIFIN (AUSTRALIA) PTY. LIMITED,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"9 Carrington Road, Castle Hill, NSW, 2154",New South Wales,-33.72823,150.98311,Equipment And/or Product Manufacturer Or Supplier,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41562,STUDYMIX PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"765 Stanley St, WOOLLOONGABBA, QLD, 4102",Queensland,-27.48648,153.03409,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41564,Vast Training Academy Pty Ltd as The Trustee for Vast Training Academy Trust,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"1/84 Wises Rd, Maroochydore, QLD, 4558",Queensland,-26.67206,153.08659,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41565,Connect Consulting & Training Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 1 24 Arthur St, LAVENDER BAY, NSW, 2060",New South Wales,-33.84246,151.20902,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
